Timestamp,PT1,PT2,LC,LC_VOLT,Packet Delimiter
2311650,784.20,785.99,-0.40,0.00,-42069
2311833,784.20,785.99,-0.40,0.00,-42069
2311895,784.20,785.99,-0.40,0.00,-42069
2311925,784.20,785.99,-0.40,0.00,-42069
2311986,782.98,785.99,-0.40,0.00,-42069
2312170,784.20,785.99,-0.40,0.00,-42069
2312200,782.98,787.20,-0.40,0.00,-42069
2312230,784.20,787.20,-0.40,0.00,-42069
2312292,784.20,785.99,-0.40,0.00,-42069
2312323,784.20,785.99,-0.40,0.00,-42069
2312415,784.20,785.99,-0.40,0.00,-42069
2312475,782.98,787.20,-0.40,0.00,-42069
2312506,784.20,785.99,-0.40,0.00,-42069
2312567,782.98,787.20,-0.40,0.00,-42069
2312598,784.20,785.99,-0.40,0.00,-42069
2312690,784.20,785.99,-0.40,0.00,-42069
2312751,784.20,787.20,-0.40,0.00,-42069
2312812,785.41,787.20,-0.40,0.00,-42069
2312843,784.20,787.20,-0.40,0.00,-42069
2312965,784.20,787.20,-0.40,0.00,-42069
2313057,784.20,785.99,-0.40,0.00,-42069
2313088,785.41,787.20,-0.40,0.00,-42069
2313118,782.98,787.20,-0.40,0.00,-42069
2313240,785.41,785.99,-0.40,0.00,-42069
2313302,784.20,787.20,-0.40,0.00,-42069
2313332,784.20,785.99,-0.40,0.00,-42069
2313363,784.20,787.20,-0.40,0.00,-42069
2313424,785.41,787.20,-0.40,0.00,-42069
2313516,785.41,787.20,-0.40,0.00,-42069
2313577,785.41,785.99,-0.40,0.00,-42069
2313608,784.20,784.78,-0.40,0.00,-42069
2313638,785.41,787.20,-0.40,0.00,-42069
2313669,784.20,784.78,-0.40,0.00,-42069
2313700,784.20,785.99,-0.40,0.00,-42069
2313791,784.20,787.20,-0.40,0.00,-42069
2313852,784.20,785.99,-0.40,0.00,-42069
2313883,784.20,787.20,-0.40,0.00,-42069
2313914,782.98,787.20,-0.40,0.00,-42069
2313945,785.41,787.20,-0.40,0.00,-42069
2313974,785.41,787.20,-0.40,0.00,-42069
2314066,784.20,787.20,-0.40,0.00,-42069
2314128,785.41,788.41,-0.40,0.00,-42069
2314159,784.20,785.99,-0.40,0.00,-42069
2314219,784.20,787.20,-0.40,0.00,-42069
2314250,785.41,785.99,-0.40,0.00,-42069
2314342,784.20,785.99,-0.40,0.00,-42069
2314434,784.20,787.20,-0.40,0.00,-42069
2314465,784.20,787.20,-0.40,0.00,-42069
2314494,785.41,787.20,-0.40,0.00,-42069
2314525,784.20,787.20,-0.40,0.00,-42069
2314556,785.41,785.99,-0.40,0.00,-42069
2314587,785.41,787.20,-0.40,0.00,-42069
2314679,785.41,787.20,-0.40,0.00,-42069
2314770,784.20,787.20,-0.40,0.00,-42069
2314801,784.20,787.20,-0.40,0.00,-42069
2314831,785.41,783.57,-0.40,0.00,-42069
2314862,785.41,787.20,-0.40,0.00,-42069
2314893,784.20,784.78,-0.40,0.00,-42069
